login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
djcas9,djcas9/CyberChef,2024-08-30T20:45:34Z,0,0,,TRUE,TRUE,Apache License 2.0
Kirpal,Kirpal/flutter-radar,2024-08-30T17:35:51Z,0,0,,TRUE,TRUE,Apache License 2.0
davidbau,davidbau/cs7180,2024-08-30T15:22:45Z,7,7,HTML,TRUE,TRUE,N/A
agrosner,agrosner/apollo-kotlin,2024-08-29T17:21:09Z,0,0,,TRUE,TRUE,MIT License
klaviyo,klaviyo/connectors,2024-08-26T17:00:28Z,0,0,Python,TRUE,TRUE,Apache License 2.0
haozhu233,haozhu233/cs169,2024-08-26T14:55:22Z,0,0,,TRUE,TRUE,Other
ertuil,ertuil/Linux201-docs,2024-08-26T08:37:27Z,0,0,,TRUE,FALSE,Other
Foundation-Devices,Foundation-Devices/btcpayserver-helm,2024-08-26T00:51:02Z,0,0,,TRUE,TRUE,N/A
Btibert3,Btibert3/is834-binder,2024-08-25T19:47:29Z,0,0,,TRUE,TRUE,N/A
thePunderWoman,thePunderWoman/Belay,2024-08-25T16:47:44Z,0,0,,TRUE,FALSE,Other
freddiev4,freddiev4/Poke_Transporter_GB,2024-08-25T09:37:56Z,0,0,,TRUE,FALSE,MIT License
alexanderepstein,alexanderepstein/taskade,2024-08-25T02:51:01Z,0,0,Python,FALSE,FALSE,MIT License
nareshbhatia,nareshbhatia/drizzle-todo,2024-08-23T01:20:48Z,1,1,TypeScript,TRUE,TRUE,N/A
fedorov,fedorov/CDA-Community-Notebooks,2024-08-22T16:33:32Z,0,0,,TRUE,FALSE,N/A
bit101,bit101/boxbreath,2024-08-22T12:34:34Z,4,4,Go,TRUE,TRUE,MIT License
LeifAndersen,LeifAndersen/buck2,2024-08-22T12:30:55Z,0,0,,TRUE,FALSE,Apache License 2.0
neuralmagic,neuralmagic/flash-attention,2024-08-20T17:17:12Z,0,0,,TRUE,FALSE,"BSD 3-Clause ""New"" or ""Revised"" License"
timcappalli,timcappalli/oak,2024-08-19T17:36:23Z,0,0,,TRUE,FALSE,Apache License 2.0
mguay22,mguay22/jobber,2024-08-18T15:50:50Z,1,1,TypeScript,TRUE,TRUE,N/A
MTACS,MTACS/BetterDiscordLoader,2024-08-18T04:21:08Z,1,1,Objective-C,TRUE,TRUE,N/A
LimHyungTae,LimHyungTae/Kimera-Multi-LCD,2024-08-17T23:17:14Z,1,1,,TRUE,FALSE,"BSD 2-Clause ""Simplified"" License"
Foundation-Devices,Foundation-Devices/libblur,2024-08-17T13:24:51Z,0,0,,TRUE,TRUE,Apache License 2.0
LimHyungTae,LimHyungTae/Kimera-RPGO,2024-08-16T21:40:33Z,0,0,,TRUE,TRUE,"BSD 2-Clause ""Simplified"" License"
